name,     lon,            lat
359,    -7.79408E+01,    3.78780E+01
360,    -7.78725E+01,    3.78780E+01
361,    -7.78042E+01,    3.78780E+01
362,    -7.77359E+01,    3.78780E+01
363,    -7.76676E+01,    3.78780E+01
364,    -7.82824E+01,    3.79320E+01
365,    -7.82141E+01,    3.79320E+01
366,    -7.81458E+01,    3.79320E+01
367,    -7.80775E+01,    3.79320E+01
368,    -7.80092E+01,    3.79320E+01
369,    -7.79408E+01,    3.79320E+01
370,    -7.78725E+01,    3.79320E+01
371,    -7.78042E+01,    3.79320E+01
372,    -7.77359E+01,    3.79320E+01
373,    -7.76676E+01,    3.79320E+01
374,    -7.82824E+01,    3.79861E+01
375,    -7.82141E+01,    3.79861E+01
376,    -7.81458E+01,    3.79861E+01
377,    -7.80775E+01,    3.79861E+01
378,    -7.80092E+01,    3.79861E+01
379,    -7.79408E+01,    3.79861E+01
380,    -7.78725E+01,    3.79861E+01
381,    -7.78042E+01,    3.79861E+01
382,    -7.77359E+01,    3.79861E+01
383,    -7.76676E+01,    3.79861E+01
384,    -7.82824E+01,    3.80401E+01
385,    -7.82141E+01,    3.80401E+01
386,    -7.81458E+01,    3.80401E+01
387,    -7.80775E+01,    3.80401E+01
388,    -7.80092E+01,    3.80401E+01
389,    -7.79408E+01,    3.80401E+01
390,    -7.78725E+01,    3.80401E+01
391,    -7.78042E+01,    3.80401E+01
392,    -7.77359E+01,    3.80401E+01
393,    -7.76676E+01,    3.80401E+01
394,    -7.82824E+01,    3.80942E+01
395,    -7.82141E+01,    3.80942E+01
396,    -7.81458E+01,    3.80942E+01
397,    -7.80775E+01,    3.80942E+01
398,    -7.80092E+01,    3.80942E+01
399,    -7.79408E+01,    3.80942E+01
400,    -7.78725E+01,    3.80942E+01
401,    -7.78042E+01,    3.80942E+01
402,    -7.77359E+01,    3.80942E+01
403,    -7.76676E+01,    3.80942E+01
404,    -7.82824E+01,    3.81483E+01
405,    -7.82141E+01,    3.81483E+01
406,    -7.81458E+01,    3.81483E+01
407,    -7.80775E+01,    3.81483E+01
408,    -7.80092E+01,    3.81483E+01
409,    -7.79408E+01,    3.81483E+01
410,    -7.78725E+01,    3.81483E+01
411,    -7.78042E+01,    3.81483E+01
412,    -7.77359E+01,    3.81483E+01
413,    -7.76676E+01,    3.81483E+01
414,    -7.81116E+01,    3.77969E+01
415,    -7.80433E+01,    3.77969E+01
416,    -7.79750E+01,    3.77969E+01
417,    -7.79067E+01,    3.77969E+01
418,    -7.78384E+01,    3.77969E+01
419,    -7.81116E+01,    3.78509E+01
420,    -7.80433E+01,    3.78509E+01
421,    -7.79750E+01,    3.78509E+01
422,    -7.79067E+01,    3.78509E+01
423,    -7.78384E+01,    3.78509E+01
424,    -7.81116E+01,    3.79050E+01
425,    -7.80433E+01,    3.79050E+01
426,    -7.79750E+01,    3.79050E+01
427,    -7.79067E+01,    3.79050E+01
428,    -7.78384E+01,    3.79050E+01
429,    -7.81116E+01,    3.79591E+01
430,    -7.80433E+01,    3.79591E+01
431,    -7.79750E+01,    3.79591E+01
432,    -7.79067E+01,    3.79591E+01
433,    -7.78384E+01,    3.79591E+01
434,    -7.81116E+01,    3.80131E+01
435,    -7.80433E+01,    3.80131E+01
436,    -7.79750E+01,    3.80131E+01
437,    -7.79067E+01,    3.80131E+01
438,    -7.78384E+01,    3.80131E+01
439,    -7.80177E+01,    3.78712E+01
440,    -7.80006E+01,    3.78712E+01
441,    -7.79835E+01,    3.78712E+01
442,    -7.79665E+01,    3.78712E+01
443,    -7.79494E+01,    3.78712E+01
444,    -7.79323E+01,    3.78712E+01
445,    -7.80177E+01,    3.78847E+01
446,    -7.80006E+01,    3.78847E+01
447,    -7.79835E+01,    3.78847E+01
448,    -7.79665E+01,    3.78847E+01
449,    -7.79494E+01,    3.78847E+01
450,    -7.79323E+01,    3.78847E+01
451,    -7.80177E+01,    3.78982E+01
452,    -7.80006E+01,    3.78982E+01
453,    -7.79835E+01,    3.78982E+01
454,    -7.79665E+01,    3.78982E+01
455,    -7.79494E+01,    3.78982E+01
456,    -7.79323E+01,    3.78982E+01
457,    -7.80177E+01,    3.79118E+01
458,    -7.80006E+01,    3.79118E+01
459,    -7.79835E+01,    3.79118E+01
460,    -7.79665E+01,    3.79118E+01
461,    -7.79494E+01,    3.79118E+01
462,    -7.79323E+01,    3.79118E+01
463,    -7.80177E+01,    3.79253E+01
464,    -7.80006E+01,    3.79253E+01
465,    -7.79835E+01,    3.79253E+01
466,    -7.79665E+01,    3.79253E+01
467,    -7.79494E+01,    3.79253E+01
468,    -7.79323E+01,    3.79253E+01
469,    -7.80177E+01,    3.79388E+01
470,    -7.80006E+01,    3.79388E+01
471,    -7.79835E+01,    3.79388E+01
472,    -7.79665E+01,    3.79388E+01
473,    -7.79494E+01,    3.79388E+01
474,    -7.79323E+01,    3.79388E+01
